Hanzi,Level,WritingLevel,Traditional,Freq,Examples
温,2,2,溫,17,气温 温度 温暖 降温 高温
闻,2,2,聞,12,闻 新闻 丑闻 传闻 耳闻目睹
务,2,2,務,22,服务 公务员 任务 服务员 家务
物,2,2,物,33,动物 动物园 礼物 食物 购物
夏,2,2,夏,3,夏天 夏季 夏令营
相,2,2,相,47,相同 相信 相机 照相 互相
响,2,2,響,10,响 影响 反响 影响力 响声
向,2,1,向/嚮,25,方向 向 向导 向前 向上
像,2,2,像,12,好像 像 偶像 摄像 摄像机
鞋,2,2,鞋,7,球鞋 鞋 高跟鞋 皮鞋 凉鞋
心,2,2,心,102,放心 关心 开心 小心 心里
信,2,2,信,36,短信 相信 信 信号 信息
姓,2,2,姓,4,姓 姓名 老百姓 姓氏
须,2,2,須,3,必须 无须 须
许,2,2,許,11,许多 也许 或许 不许 许可
选,2,2,選,19,选 选手 挑选 选择 当选
雪,2,2,雪,7,下雪 雪 冰雪 滑雪 瑞雪
言,2,2,言,25,语言 发言 言语 传言 发言人
颜,2,2,顏,3,颜色 五颜六色 容颜
眼,2,2,眼,28,眼 眼睛 眼前 眼镜 眼泪
阳,2,2,陽,6,太阳 阳光 阳台 太阳能 晒太阳
养,2,2,養,23,养 营养 疗养 培养 养成
药,2,2,藥,13,药 药店 药片 药水 药物
业,2,2,業,30,作业 创业 工业 就业 开业
夜,2,2,夜,19,半夜 夜 夜里 夜间 黑夜
宜,2,2,宜,4,便宜 不宜 事宜 适宜
已,2,2,已,7,已经 已 早已 不得已 不已
以,2,1,以,34,可以 所以 以后 以前 以上
椅,2,2,椅,3,椅子 轮椅 藤椅
亿,2,2,億,1,亿
意,2,1,意,63,不好意思 故意 满意 意见 意思
因,2,1,因,8,因为 原因 因此 因而 因
阴,2,3,陰,6,阴 阴天 阴谋 阴影 阴暗
音,2,2,音,15,读音 声音 音节 音乐 音乐会
银,2,2,銀,5,银行 银行卡 银 银牌 银幕
印,2,2,印,10,打印 复印 印象 印刷 打印机
应,2,1,應,24,答应 应该 反应 适应 应当
英,2,3,英,7,英文 英语 英勇 英雄 精英
迎,2,3,迎,5,欢迎 迎接 迎来 迎 迎合
永,2,2,永,4,永远 永不 永恒 永久
由,2,2,由,13,自由 理由 由 由于 由此
油,2,2,油,9,加油 油 石油 加油站 汽油
游,2,3,遊/游,18,旅游 游客 游 游戏 游泳
又,2,1,又,1,又
于,2,2,於/于,47,等于 属于 由于 终于 处于
鱼,2,2,魚,4,鱼 钓鱼 鳄鱼 鲨鱼
育,2,2,育,10,教育 体育 体育场 体育馆 培育
园,2,3,園,12,动物园 公园 花园 校园 幼儿园
原,2,2,原,23,原来 原因 原料 原则 草原
愿,2,2,願,14,愿意 愿望 志愿者 志愿 愿
越,2,2,越,9,越 越来越 超越 穿越 跨越
云,2,2,雲,4,多云 云 乌云 风云
运,2,2,運,23,运动 命运 幸运 运输 亚运会
咱,2,2,咱,2,咱 咱们
脏,2,2,髒/臟,4,脏 心脏 心脏病 肝脏
澡,2,2,澡,1,洗澡
占,2,2,占/佔,9,占 占领 占有 占据 霸占
照,2,2,照,23,护照 照顾 照片 照相 按照
者,2,2,者,12,或者 读者 记者 者 志愿者
直,2,2,直,19,一直 直接 简直 直 直播
只,2,2,只/隻,12,只 只能 只要 只好 只是
纸,2,2,紙,4,报纸 纸 图纸 造纸术
钟,2,3,鐘,5,分钟 钟 闹钟 钟头 警钟
周,2,2,周/週,13,上周 下周 周 周末 周年
主,2,2,主,44,主人 主要 主持 主动 主任
助,2,1,助,17,帮助 赞助 辅助 助理 助手
装,2,2,裝,19,装 安装 服装 装修 装置
自,2,2,自,57,大自然 来自 自己 自行车 自由
租,2,2,租,6,出租 出租车 租 房租 租金
组,2,2,組,11,小组 组 组成 组长 分组
嘴,2,,嘴,7,嘴 嘴巴 插嘴 吵嘴 咧嘴
座,2,2,座,9,座 座位 讲座 让座 座谈会
按,3,3,按,7,按 按照 按时 按摩 按键
把,3,1,把,6,把 把握 把柄 把关 把手
搬,3,,搬,3,搬 搬家 搬迁
保,3,3,保,25,保 保安 保持 保存 保护
被,3,2,被,6,被 被子 被迫 被动 被告
币,3,3,幣,4,人民币 外币 货币 硬币
标,3,2,標,17,标题 标准 目标 标志 商标
并,3,3,並/併,8,并 并且 合并 并非 并购
播,3,3,播,9,播出 播放 传播 广播 直播
补,3,3,補,15,补 补充 补偿 补贴 补考
布,3,3,布/佈,13,布 公布 宣布 布置 分布
步,3,2,步,18,步 初步 进步 进一步 跑步
材,3,3,材,10,教材 材料 身材 题材 棺材
采,3,3,採/采,12,采取 采用 采访 采购 采纳
彩,3,3,彩,11,彩色 精彩 色彩 彩票 彩电
曾,3,3,曾,4,曾经 曾 不曾 似曾相识
察,3,3,察,9,观察 警察 考察 察觉 察看
产,3,2,產,20,产生 生产 财产 产品 破产
厂,3,2,廠,6,厂 工厂 厂长 厂商 厂家
朝,3,3,朝,7,朝 朝代 朝着 有朝一日 朝气蓬勃
吵,3,3,吵,4,吵 吵架 吵嘴 争吵
衬,3,3,襯,3,衬衫 衬衣 衬托
城,3,2,城,10,长城 城 城市 城里 城区
程,3,3,程,21,程度 工程师 过程 课程 程序
持,3,3,持,15,保持 持续 坚持 支持 主持
充,3,3,充,12,补充 充满 充电 充电器 充分
初,3,3,初,14,初 初一 初步 初级 初中
除,3,2,除,23,除了 拆除 除非 除夕 解除
础,3,3,礎,1,基础
传,3,3,傳,26,传 传播 传来 传说 宣传
创,3,3,創,15,创新 创业 创造 创作 创立
此,3,3,此,25,因此 此 此外 从此 彼此
村,3,2,村,4,村 农村 乡村 村庄
存,3,3,存,11,保存 存 存在 生存 存款
达,3,2,達,13,表达 达到 到达 发达 传达
代,3,3,代,27,代 代表 代表团 古代 现代化
待,3,3,待,14,等待 对待 接待 待遇 期待
刀,3,2,刀,2,刀 剪刀
导,3,3,導,17,导演 领导 指导 导游 导致
底,3,3,底,16,到底 底下 年底 彻底 底
调,3,2,調,23,调 调查 空调 强调 调整
订,3,3,訂,9,订 预订 制订 签订 订单
断,3,2,斷,15,不断 断 判断 诊断 中断
顿,3,3,頓,5,顿 整顿 顿时 停顿 抑扬顿挫
烦,3,2,煩,7,麻烦 烦 不耐烦 烦闷 烦恼
反,3,2,反,26,反对 反复 反应 反正 反
范,3,3,範,9,范围 规范 模范 示范 防范
防,3,3,防,17,防 防止 预防 防治 消防
访,3,3,訪,7,访问 采访 拜访 出访 访谈
啡,3,,啡,1,咖啡
费,3,3,費,23,费 费用 交费 浪费 收费
丰,3,3,豐,7,丰富 丰收 丰富多彩 丰厚 丰满
否,3,2,否,7,否定 否认 否则 是否 能否
夫,3,2,夫,9,大夫 工夫 功夫 夫妇 夫妻
福,3,3,福,6,福 幸福 祝福 福利 福气
父,3,2,父,9,父母 父亲 父女 父子 师父
付,3,3,付,9,付 支付 对付 付出 付费
负,3,3,負,13,负责 负担 负责人 胜负 负
富,3,3,富,14,丰富 富 财富 富人 富有
概,3,3,概,8,大概 概念 概括 概况 概率
赶,3,3,趕,10,赶 赶到 赶紧 赶快 赶不上
敢,3,2,敢,6,敢 勇敢 不敢当 敢于 敢情
格,3,3,格,15,表格 合格 价格 性格 资格
各,3,2,各,8,各 各地 各位 各种 各自
根,3,3,根,10,根本 根 根据 根基 根深蒂固
功,3,3,功,17,成功 功夫 功课 功能 多功能
姑,3,3,姑,2,姑娘 姑姑
古,3,2,古,12,古 古代 古老 古典 古董
挂,3,2,掛,7,挂 挂钩 挂号 挂念 挂失
怪,3,3,怪,10,奇怪 怪 大惊小怪 古怪 怪不得
管,3,2,管,21,管 管理 不管 吸管 尽管
光,3,3,光,34,不光 光 光明 阳光 灯光
规,3,3,規,14,规定 规范 大规模 规律 规模
哈,3,2,哈,1,哈哈
害,3,3,害,21,害怕 危害 伤害 害 厉害
何,3,3,何,10,任何 如何 为何 何必 何处
互,3,3,互,8,互联网 互相 相互 互动 互补
华,3,2,華,12,华人 中华民族 华语 中华 才华
化,3,2,化,34,变化 化 现代化 文化 消化
环,3,3,環,8,环 环保 环境 环节 循环
婚,3,3,婚,7,结婚 离婚 婚礼 订婚 婚纱
积,3,3,積,11,积极 面积 积极性 积累 体积
基,3,3,基,12,基本 基本上 基础 基地 基金
及,3,2,及,16,及时 普及 及格 来不及 来得及
极,3,3,極,16,积极 极了 积极性 极 极其
集,3,3,集,20,集体 集中 集合 集团 收集
纪,3,3,紀,10,纪录 纪念 年纪 世纪 纪律
技,3,3,技,12,技术 科技 技巧 技能 高科技
济,3,3,濟,6,经济 接济 救济 市场经济 同舟共济
继,3,3,繼,9,继续 继承 继 继而 继父
价,3,3,價,24,价格 价钱 价值 票价 评价
架,3,3,架,9,吵架 架 书架 衣架 打架
坚,3,3,堅,11,坚持 坚决 坚强 坚固 坚定
简,3,3,簡,13,简单 简直 简历 简介 简称
建,3,3,建,20,建 建成 建立 建设 建议
将,3,3,將,8,将近 将来 即将 将 将要
蕉,3,,蕉,1,香蕉
较,3,3,較,5,比较 较 计较 较劲 较量
解,3,3,解,33,解决 解开 理解 缓解 解释
界,3,3,界,16,世界 世界杯 全世界 外界 界
金,3,3,金,22,金 金牌 现金 资金 黄金
仅,3,3,僅,5,不仅 仅 仅仅 不仅仅 仅次于
尽,3,3,儘/盡,12,尽量 尽快 尽力 尽管 尽可能
紧,3,3,緊,16,赶紧 紧 紧急 紧张 不要紧
精,3,3,精,26,精彩 精神 精力 精 精美
景,3,3,景,13,景色 背景 风景 情景 景象
警,3,3,警,9,交警 警察 报警 警告 民警
境,3,3,境,13,环境 边境 出境 处境 过境
旧,3,3,舊,6,旧 仍旧 依旧 陈旧 怀旧
救,3,3,救,18,救 救灾 抢救 急救 救命
具,3,3,具,10,工具 家具 具体 具有 玩具
剧,3,3,劇,20,电视剧 话剧 京剧 剧场 连续剧
据,3,3,據,13,据说 证据 根据 数据 依据
决,3,3,決,16,坚决 解决 决定 决赛 决心
绝,3,3,絕,13,绝对 拒绝 绝望 绝 绝大多数
咖,3,,咖,1,咖啡
恐,3,3,恐,7,恐怕 恐怖 恐吓 恐慌 恐惧
苦,3,3,苦,19,痛苦 苦 艰苦 酸甜苦辣 辛苦
裤,3,,褲,3,短裤 裤子 牛仔裤
况,3,2,況,7,情况 状况 概况 何况 况且
困,3,2,困,6,困 困难 困扰 贫困 困惑
浪,3,3,浪,8,浪费 浪漫 波浪 海浪 冲浪
类,3,3,類,10,类 类似 人类 类型 种类
李,3,2,李,1,行李
历,3,3,歷/曆,14,经历 简历 历史 日历 来历
立,3,3,立,29,成立 建立 立刻 设立 独立
丽,3,3,麗,7,美丽 风和日丽 华丽 亮丽 秀丽
连,3,2,連,16,连 连忙 连续 连续剧 接连
联,3,3,聯,14,互联网 联合 联合国 联系 联络
烈,3,3,烈,8,强烈 热烈 激烈 剧烈 烈士
领,3,3,領,26,本领 带领 领 领导 领先
另,3,2,另,3,另外 另一方面 另
龙,3,2,龍,9,龙 画龙点睛 恐龙 来龙去脉 龙舟
录,3,3,錄,12,记录 纪录 录 录音 登录
乱,3,3,亂,12,乱 混乱 捣乱 胡思乱想 慌乱
落,3,3,落,21,落后 降落 落 落实 段落
麻,3,2,麻,8,麻烦 麻 麻痹 麻将 麻辣
冒,3,3,冒,7,感冒 冒 假冒 冒充 冒犯
媒,3,3,媒,3,媒体 传媒 多媒体
每,3,1,每,3,每 每当 每逢
美,3,2,美,29,美 美好 美丽 美食 美术
迷,3,3,迷,17,歌迷 迷 球迷 迷人 迷信
民,3,2,民,28,公民 民间 民族 农民 人民
命,3,3,命,17,命运 生命 命令 救命 命
某,3,3,某,1,某
母,3,3,母,11,父母 母亲 字母 母 母鸡
木,3,1,木,7,木头 麻木 木板 木材 木匠
内,3,3,內,22,国内 内 内容 内心 内部
念,3,2,念,19,概念 观念 纪念 念 怀念
娘,3,3,娘,3,姑娘 新娘 娘
农,3,3,農,8,农村 农民 农业 农产品 农场
暖,3,3,暖,8,暖和 温暖 暖气 暖 保暖
拍,3,3,拍,7,拍 拍照 拍摄 球拍 拍板
牌,3,2,牌,13,金牌 牌子 银牌 名牌儿 牌
派,3,3,派,5,派 派出 派别 派遣 气派
判,3,3,判,10,判断 谈判 裁判 判 判处
胖,3,2,胖,3,胖 胖子 肥胖
配,3,3,配,13,分配 配 配合 配备 配套
批,3,3,批,8,批评 批准 批 大批 批发
皮,3,3,皮,9,皮 皮包 调皮 皮肤 皮鞋
啤,3,,啤,1,啤酒
品,3,3,品,31,商品 食品 作品 产品 品质
评,3,3,評,13,批评 评价 评估 评论 评
苹,3,2,蘋,1,苹果
破,3,3,破,13,打破 破 破坏 破产 突破
齐,3,3,齊,5,齐 整齐 齐全 一齐 齐心协力
奇,3,3,奇,13,好奇 奇怪 神奇 奇妙 传奇
器,3,3,器,16,机器 武器 充电器 器官 机器人
强,3,3,強,28,加强 坚强 强 强大 强调
桥,3,3,橋,4,桥 桥梁 立交桥 天桥
巧,3,3,巧,11,巧 技巧 巧克力 巧妙 凑巧
切,3,3,切,13,亲切 一切 密切 迫切 切
亲,3,3,親,22,父亲 母亲 亲 亲切 亲人
庆,3,3,慶,6,国庆 庆祝 庆典 庆贺 庆幸
区,3,2,區,16,地区 区 区别 市区 郊区
缺,3,3,缺,12,缺 缺点 缺少 缺乏 缺陷
裙,3,,裙,1,裙子
群,3,3,群,6,群 人群 群体 群众 成群结队
任,3,3,任,23,任 任何 任务 信任 责任
仍,3,3,仍,3,仍 仍然 仍旧
容,3,3,容,21,内容 容易 形容 好容易 好不容易
赛,3,3,賽,13,比赛 决赛 大奖赛 竞赛 半决赛
散,3,3,散,9,散步 分散 散 散文 解散
沙,3,3,沙,6,沙发 沙子 沙漠 风沙 沙龙
衫,3,,衫,1,衬衫
善,3,3,善,9,完善 改善 善良 善于 慈善
伤,3,3,傷,16,伤 伤心 受伤 伤害 悲伤
设,3,3,設,15,建设 设备 设计 设立 设施
社,3,2,社,11,旅行社 社会 社 社区 报社
深,3,2,深,21,深 深刻 深入 深厚 深处
神,3,3,神,15,精神 神话 神秘 神 神经
升,3,3,升,14,上升 升 毫升 升高 升级
胜,3,3,勝,10,胜 胜利 战胜 胜负 名胜
失,3,3,失,29,失去 消失 失败 失望 失业
石,3,3,石,9,石头 石油 宝石 化石 礁石
始,3,3,始,5,开始 始终 原始 创始人 自始至终
世,3,3,世,14,去世 世纪 世界 世界杯 全世界
式,3,3,式,13,方式 形式 正式 闭幕式 公式
似,3,3,似,9,类似 相似 似的 似乎 好似
势,3,3,勢,17,优势 趋势 形势 势力 强势
首,3,3,首,16,首都 首先 首 首次 首脑
输,3,2,輸,10,输 输入 运输 输出 传输
属,3,3,屬,11,家属 属 属于 亲属 非金属
术,3,3,術,12,技术 美术 武术 艺术 手术
束,3,3,束,5,结束 束 约束 拘束 束缚
双,3,3,雙,10,双 双方 双手 双打 举世无双
死,3,3,死,5,死 死亡 生死 死心 死心塌地
速,3,3,速,13,高速 高速公路 快速 速度 迅速
台,3,3,臺/台/颱/檯,23,电视台 电台 台 舞台 窗台
谈,3,2,談,15,谈 谈话 谈判 会谈 座谈会
汤,3,2,湯,2,汤 汤圆
糖,3,3,糖,6,糖 口香糖 砂糖 糖果 糖尿病
甜,3,3,甜,5,甜 酸甜苦辣 甜美 甜蜜 甜头
跳,3,3,跳,9,跳 跳高 跳舞 跳远 跳水
痛,3,2,痛,7,痛 痛苦 痛快 疼痛 悲痛
突,3,3,突,8,突出 突然 冲突 突破 突发
土,3,2,土,12,土 土地 土豆 本土 出土
团,3,3,團,14,代表团 团 团结 团体 集团
退,3,3,退,14,退 退出 退休 退票 辞退
望,3,2,望,21,希望 愿望 看望 失望 绝望
危,3,3,危,6,危害 危险 危机 乘人之危 危及
围,3,3,圍,9,范围 围 周围 围巾 包围
伟,3,3,偉,3,伟大 雄伟 宏伟
卫,3,3,衛,8,卫生 卫生间 保卫 卫星 防卫
握,3,3,握,4,把握 握手 握 掌握
屋,3,3,屋,4,房屋 屋子 屋 屋顶
武,3,3,武,5,武器 武术 核武器 武力 武装
舞,3,3,舞,7,跳舞 舞台 舞 舞蹈 歌舞
误,3,2,誤,10,错误 误会 失误 误解 误
希,3,3,希,1,希望
戏,3,3,戲,8,游戏 戏 戏剧 戏曲 游戏机
显,3,3,顯,13,明显 显得 显然 显示 显著
险,3,3,險,10,保险 风险 危险 险 化险为夷
线,3,3,線,23,路线 线 光线 线索 直线
乡,3,3,鄉,9,故乡 家乡 乡 乡村 城乡
香,3,2,香,9,香 香蕉 香肠 口香糖 香料
箱,3,,箱,7,邮箱 冰箱 箱 箱子 信箱
象,3,2,象,12,对象 现象 形象 印象 想象
消,3,3,消,16,取消 消费 消失 消息 消化
效,3,3,效,18,效果 有效 效率 成效 无效
血,3,2,血,15,血 血管 血液 出血 高血压
形,3,3,形,21,形成 形式 形象 形状 形容
幸,3,3,幸/倖,10,幸福 幸运 不幸 庆幸 荣幸
性,3,3,性,36,个性 性 积极性 性别 性格
修,3,3,修,18,修 修改 维修 修理 装修
需,3,2,需,6,需求 需要 必需 急需 内需
续,3,3,續,11,持续 继续 连续 连续剧 手续
宣,3,3,宣,9,宣布 宣传 宣称 宣读 宣告
训,3,3,訓,5,训练 教训 培训 培训班 训
压,3,2,壓,13,压 压力 压迫 高血压 高压
烟,3,3,煙,8,烟 抽烟 吸烟 烟花 戒烟
演,3,3,演,24,表演 导演 演 演唱 演唱会
验,3,2,驗,12,经验 考验 实验 实验室 试验
羊,3,2,羊,2,羊 亡羊补牢
义,3,3,義,18,意义 含义 义务 正义 名义
艺,3,3,藝,10,艺术 工艺 工艺品 文艺 文艺界
议,3,3,議,17,会议 建议 议论 协议 协议书
易,3,3,易,11,交易 容易 轻易 不易 贸易
营,3,3,營,10,经营 营养 营业 私营 夏令营
赢,3,,贏,4,赢 赢得 双赢 赢家
泳,3,3,泳,2,游泳 游泳池
优,3,3,優,13,优点 优势 优良 优美 优秀
邮,3,3,郵,8,电子邮件 邮件 邮票 邮箱 邮局
预,3,3,預,22,预报 预防 预计 预习 预测
员,3,3,員,27,成员 队员 公务员 会员 人员
约,3,2,約,18,大约 节约 约 约会 签约
杂,3,3,雜,7,复杂 杂志 杂 错综复杂 杂技
造,3,3,造,21,创造 改造 造 造成 制造
责,3,3,責,10,负责 责任 负责人 指责 职责
增,3,3,增,12,增加 增长 增 增产 增大
展,3,3,展,16,发展 进展 开展 展开 扩展
张,3,2,張,12,紧张 张 主张 东张西望 慌张
章,3,3,章,8,文章 章 出口成章 顺理成章 违章
争,3,3,爭,17,争 争取 战争 争论 竞争
整,3,3,整,15,调整 完整 整 整个 整理
证,3,3,證,22,保证 身份证 证 证件 证据
支,3,2,支,13,支 支持 支付 支出 支配
汁,3,3,汁,4,果汁 橙汁 原汁原味 汁
值,3,3,值,11,价值 值 值得 值班 不值
职,3,3,職,19,职工 职业 辞职 职能 职位
止,3,2,止,17,防止 停止 禁止 阻止 不止
指,3,3,指,23,手指 指 指出 指导 指挥
至,3,3,至,15,至今 至少 甚至 至 不至于
志,3,2,誌/志,10,杂志 志愿者 志愿 标志 意志
制,3,3,制/製,33,制定 制度 制造 制作 复制
终,3,3,終,11,始终 终于 终点 终身 终止
种,3,2,種,9,各种 种 种子 多种 种类
众,3,3,眾,13,观众 听众 大众 群众 众多
猪,3,2,豬,1,猪
注,3,3,注/註,11,关注 注意 注册 注射 注视
祝,3,3,祝,5,庆祝 祝 祝福 祝贺 祝愿
抓,3,2,抓,3,抓 抓住 抓紧
专,3,3,專,18,专家 专门 专题 专业 专心
转,3,2,轉,30,转 转变 转动 转告 转身
状,3,3,狀,7,形状 状况 状态 现状 症状
追,3,3,追,11,追 追求 追究 追悼会 追赶
资,3,3,資,19,工资 资格 资金 投资 资料
总,3,2,總,20,总 总结 总是 总共 总理
足,3,2,足,18,满足 足够 足球 不足 充足
族,3,3,族,7,民族 中华民族 族 上班族 贵族
阿,4,,阿,2,阿姨 阿拉伯语
矮,4,3,矮,2,矮 矮小
案,4,,案,8,答案 方案 图案 档案 案件
暗,4,3,暗,7,暗 暗示 黑暗 暗地里 暗杀
巴,4,2,巴,5,巴士 大巴 尾巴 嘴巴 巴不得
摆,4,3,擺,7,摆 摆动 摆脱 摆放 摆平
败,4,3,敗,4,败 打败 失败 腐败
伴,4,3,伴,9,伙伴 伴 伴侣 伴随 伴奏
薄,4,,薄,3,薄 薄弱 单薄
宝,4,2,寶,10,宝 宝宝 宝贝 宝贵 宝石
抱,4,2,抱,6,抱 抱怨 拥抱 抱歉 抱负
贝,4,2,貝,2,宝贝 贝壳
倍,4,3,倍,1,倍
笨,4,3,笨,3,笨 笨蛋 笨重
毕,4,3,畢,4,毕业 毕业生 毕竟 完毕
闭,4,3,閉,6,倒闭 封闭 关闭 闭幕 闭幕式
避,4,,避,8,避 避免 回避 避难 避暑
编,4,3,編,11,编 编辑 编制 编号 编剧
辩,4,,辯,5,辩论 辩 辩护 辩解 答辩
冰,4,2,冰,7,冰 冰箱 冰雪 冰棍儿 冰山
兵,4,2,兵,3,兵 士兵 官兵
擦,4,,擦,2,擦 摩擦
财,4,3,財,10,财产 财富 理财 财经 财力
操,4,,操,7,操场 操作 体操 操纵 操控
测,4,3,測,15,测 测量 测试 检测 预测
抄,4,3,抄,3,抄 抄写 抄袭
潮,4,,潮,6,潮 潮流 潮湿 高潮 热潮
彻,4,,徹,4,彻底 彻夜 贯彻 透彻
沉,4,3,沉,12,沉 沉默 沉重 沉甸甸 沉淀
诚,4,3,誠,10,诚实 诚信 真诚 诚恳 诚心诚意
承,4,3,承,10,承担 承认 承受 承办 继承
迟,4,3,遲,6,迟到 推迟 迟 迟迟 迟疑
尺,4,3,尺,4,尺 尺寸 尺子 尺度
冲,4,3,衝/沖,8,冲 冲动 冲突 冲击 冲刺
虫,4,2,蟲,3,虫子 害虫 昆虫
抽,4,3,抽,6,抽 抽奖 抽烟 抽签 抽屉
窗,4,3,窗,5,窗户 窗台 窗子 窗帘 窗口
纯,4,,純,6,纯 纯净水 单纯 纯粹 纯洁
刺,4,,刺,7,刺 刺激 冲刺 刺耳 刺骨
粗,4,3,粗,7,粗 粗心 粗暴 粗糙 粗鲁
促,4,,促,7,促进 促使 促销 促成 催促
寸,4,3,寸,3,尺寸 寸 分寸
措,4,,措,5,措施 筹措 措手不及 惊慌失措 举措
袋,4,3,袋,5,袋 口袋 脑袋 塑料袋 睡袋
戴,4,,戴,1,戴
担,4,3,擔,11,承担 担保 担任 担心 负担
淡,4,3,淡,6,淡 淡化 淡季 冷淡 平淡
登,4,,登,7,登 登记 登录 登山 登机
敌,4,3,敵,2,敌人 无敌
递,4,3,遞,5,快递 传递 递 递给 递交
顶,4,3,頂,8,顶 顶多 顶级 顶尖 封顶
斗,4,3,鬥/斗,8,奋斗 战斗 斗争 搏斗 斗
豆,4,3,豆,5,豆腐 豆制品 土豆 豆浆 豆子
独,4,3,獨,13,单独 独立 独特 独自 孤独
堵,4,3,堵,3,堵 堵车 堵塞
肚,4,3,肚,1,肚子
锻,4,3,鍛,1,锻炼
恶,4,3,噁/惡,12,恶心 罪恶 丑恶 恶 恶化
耳,4,2,耳,10,耳机 耳朵 刺耳 耳光 耳目一新
翻,4,3,翻,6,翻 翻译 翻番 翻来覆去 翻天覆地
肥,4,3,肥,7,肥 减肥 肥料 肥胖 肥沃
纷,4,,紛,3,纷纷 纠纷 缤纷
奋,4,3,奮,8,奋斗 兴奋 勤奋 奋力 奋勇
符,4,3,符,2,符号 符合
府,4,3,府,2,政府 首府
腐,4,3,腐,6,豆腐 腐败 腐化 腐烂 腐蚀
妇,4,2,婦,6,夫妇 妇女 寡妇 媳妇 孕妇
附,4,3,附,7,附近 附件 附 附带 附和
盖,4,3,蓋,7,盖 覆盖 盖子 涵盖 膝盖
隔,4,,隔,7,隔 隔开 隔壁 隔阂 隔离
供,4,,供,8,供应 提供 供给 供 供不应求
构,4,3,構,8,构成 构造 机构 结构 构建
购,4,3,購,7,购买 购物 采购 收购 并购
骨,4,3,骨,5,骨头 刺骨 骨干 骨气 骨折
固,4,,固,10,固定 坚固 巩固 根深蒂固 固然
瓜,4,2,瓜,7,瓜 黄瓜 西瓜 瓜分 瓜子
官,4,3,官,14,法官 官 官方 器官 外交官
逛,4,,逛,1,逛
归,4,3,歸,11,归 改邪归正 归根到底 归还 归结
裹,4,,裹,2,包裹 裹
含,4,3,含,8,包含 含 含量 含义 含有
寒,4,3,寒,2,寒假 寒冷
航,4,3,航,9,航班 航空 宇航员 导航 航海
毫,4,,毫,6,毫米 毫升 毫不 毫不犹豫 毫无
厚,4,3,厚,12,厚 深厚 醇厚 得天独厚 敦厚
乎,4,,乎,6,不在乎 几乎 似乎 在乎 不亦乐乎
呼,4,3,呼,11,呼吸 招呼 称呼 打招呼 呼风唤雨
户,4,3,戶,13,窗户 户 客户 用户 户外
怀,4,3,懷,11,怀念 怀疑 关怀 怀抱 怀旧
缓,4,,緩,6,缓解 缓 缓和 缓缓 缓慢
挥,4,3,揮,3,发挥 指挥 挥
汇,4,,彙/匯,9,词汇 汇 汇报 汇率 外汇
伙,4,3,夥/伙,10,伙 伙伴 小伙子 大伙儿 好家伙
货,4,3,貨,8,百货 货 售货员 货币 货车
获,4,3,獲/穫,9,获 获得 获奖 获取 收获
圾,4,,圾,1,垃圾
激,4,,激,12,刺激 激动 激烈 激情 感激
即,4,3,即,8,即将 立即 即使 当即 即
季,4,3,季,10,春季 冬季 季 季度 季节
既,4,3,既,3,既 既然 一如既往
寄,4,2,寄,2,寄 寄托
减,4,3,減,9,减 减肥 减少 减轻 减免
渐,4,,漸,3,渐渐 逐渐 循序渐进
江,4,2,江,1,江
奖,4,3,獎,15,抽奖 获奖 奖 奖金 奖学金
降,4,,降,8,降 降低 降价 降落 降温
阶,4,,階,5,阶段 台阶 阶层 阶级 阶梯
巾,4,3,巾,2,毛巾 围巾
劲,4,,勁,9,使劲 有劲儿 费劲 较劲 劲头
禁,4,3,禁,7,禁止 不禁 禁不住 禁忌 禁区
惊,4,3,驚,19,吃惊 震惊 惊人 惊喜 触目惊心
竟,4,3,竟,5,竟然 究竟 毕竟 竟 竟敢
镜,4,3,鏡,4,镜头 镜子 眼镜 望远镜
究,4,2,究,7,讲究 究竟 研究 研究生 研究所
居,4,3,居,7,居民 居住 居然 邻居 定居
局,4,3,局/侷,16,局 邮局 局面 局长 布局
巨,4,3,巨,7,巨大 艰巨 巨额 巨人 巨头
距,4,3,距,4,距离 差距 焦距 距
聚,4,,聚,8,聚 聚会 欢聚 汇聚 聚集
卷,4,,卷/捲,5,卷 试卷 卷入 卷子 问卷
均,4,3,均,4,平均 均衡 均匀 人均
棵,4,3,棵,1,棵
宽,4,3,寬,11,宽 宽广 宽度 宽阔 宽敞
矿,4,,礦,5,矿泉水 矿 采矿 矿藏 煤矿
扩,4,,擴,6,扩大 扩展 扩 扩建 扩散
括,4,3,括,4,包括 概括 括号 括弧
垃,4,,垃,1,垃圾
辣,4,3,辣,5,辣 酸甜苦辣 火辣辣 辣椒 麻辣
郎,4,,郎,1,新郎
雷,4,3,雷,2,打雷 雷同
泪,4,3,淚,4,泪 泪水 眼泪 流泪
厘,4,,釐,1,厘米
俩,4,2,倆,1,俩
炼,4,3,鍊/煉,3,锻炼 炼 提炼
良,4,3,良,8,良好 善良 优良 不良 改良
粮,4,,糧,1,粮食
疗,4,3,療,5,疗养 医疗 治疗 疗法 疗效
聊,4,,聊,3,无聊 聊 聊天儿
料,4,3,料,22,材料 燃料 塑料 塑料袋 原料
列,4,,列,11,列 列车 列入 列为 排列
林,4,3,林,6,森林 树林 园林 丛林 穆斯林
临,4,,臨,10,光临 临时 面临 降临 居高临下
陆,4,3,陸,5,大陆 陆地 陆续 陆军 登陆
