No,Level,Group,Category,Details,Content
466,7-9,句子的类型,复句,递进复句,别说……，连……也/都……；连……也/都……，别说……；别说……， 即使……也……；即使……也……，别说……
467,7-9,句子的类型,复句,递进复句,……，况且……
468,7-9,句子的类型,复句,递进复句,连……，更不用说……
469,7-9,句子的类型,复句,递进复句,……，乃至……
470,7-9,句子的类型,复句,递进复句,……，且……
471,7-9,句子的类型,复句,递进复句,……，甚至于……
472,7-9,句子的类型,复句,选择复句,或……，或……
473,7-9,句子的类型,复句,选择复句,宁可/宁愿……，也……
474,7-9,句子的类型,复句,选择复句,与其……，不如……
475,7-9,句子的类型,复句,选择复句,与其……，宁可/宁愿……
476,7-9,句子的类型,复句,转折复句,……，而……（则）……
477,7-9,句子的类型,复句,转折复句,……，……倒/反倒……
478,7-9,句子的类型,复句,假设复句,倘若/若……，……
479,7-9,句子的类型,复句,假设复句,倘若/假设/假使/若……，就/那（么）……
480,7-9,句子的类型,复句,假设复句,幸亏……，要不然/不然/要不/否则……
481,7-9,句子的类型,复句,条件复句,别管……，都……
482,7-9,句子的类型,复句,条件复句,任……，也……
483,7-9,句子的类型,复句,因果复句,（因）……，故……
484,7-9,句子的类型,复句,因果复句,鉴于……，……
485,7-9,句子的类型,复句,因果复句,（由于）……，以致……
486,7-9,句子的类型,复句,因果复句,……，以至于……
487,7-9,句子的类型,复句,因果复句,之所以……，是因为/是由于……
488,7-9,句子的类型,复句,让步复句,固然……，也……
489,7-9,句子的类型,复句,让步复句,……固然……，但是/可是/不过……
490,7-9,句子的类型,复句,让步复句,即便……，也……
491,7-9,句子的类型,复句,让步复句,虽说……，但是/可是/不过……
492,7-9,句子的类型,复句,让步复句,纵然……，也……
493,7-9,句子的类型,复句,目的复句,……，以……
494,7-9,句子的类型,复句,目的复句,……，以免/免得……
495,7-9,句子的类型,复句,解说复句,……，也就是说……
496,7-9,句子的类型,复句,紧缩复句,（要+）动词+就+动词+个+补语
497,7-9,句子的类型,复句,紧缩复句,动词（+宾语1）+就+动词（+宾语1），别……
498,7-9,句子的类型,复句,多重复句,三重或三重以上的复句
499,7-9,强调的方法,"用反问句表示强调 
反问句3：何必/何苦……呢？",,
500,7-9,口语格式,（不过/但/可是）话又说回来，……,,
501,7-9,口语格式,X（也）不是，不X也不是,,
502,7-9,口语格式,X也好/也罢，Y也好/也罢,,
503,7-9,口语格式,X了又Y，Y了又X,,
504,7-9,口语格式,X也X不……，Y也Y不……,,
505,7-9,口语格式,别提（有）多X了,,
506,7-9,口语格式,不知X的,,
507,7-9,口语格式,话（说）是这么说，不过/可/可是……,,
508,7-9,口语格式,看/瞧你那（X）样,,
509,7-9,口语格式,看在X的面子上,,
510,7-9,口语格式,哪有X这么Y的/有X这样Y的吗,,
511,7-9,口语格式,什么X的Y的,,
512,7-9,口语格式,说到/想到哪儿去了,,
513,7-9,口语格式,无所谓X不X,,
514,7-9,口语格式,要X有/没X，要Y有/没Y,,
515,7-9,句群,形式分类,带关联词语,带关联词语
516,7-9,句群,形式分类,不带关联词语,不带关联词语
517,7-9,句群,意义分类,联合关系：并列句群、承接句群、递进句群、选择句群、解说句群、总括句群,
518,7-9,句群,意义分类,偏正关系：条件句群、因果句群、目的句群、转折句群、假设句群、让步句群,
519,7-9,词类,副词,程度副词,极为
520,7-9,词类,副词,程度副词,尽
521,7-9,词类,副词,程度副词,蛮
522,7-9,词类,副词,程度副词,颇
523,7-9,词类,副词,程度副词,稍稍
524,7-9,词类,副词,程度副词,尤为
525,7-9,词类,副词,程度副词,越发
526,7-9,句子的类型,复句,递进复句,……，何况……
527,7-9,句子的类型,复句,递进复句,……，进而……
528,7-9,词类,副词,范围、协同副词,凡
529,7-9,词类,副词,范围、协同副词,皆
530,7-9,词类,副词,范围、协同副词,统统
531,7-9,词类,副词,范围、协同副词,唯独
532,7-9,词类,副词,方式副词,不由得
533,7-9,词类,副词,方式副词,一连
534,7-9,词类,副词,方式副词,顺便
535,7-9,词类,副词,否定副词,未
536,7-9,词类,副词,否定副词,勿
537,7-9,词类,副词,频率、重复副词,频频
538,7-9,词类,副词,频率、重复副词,再度
539,7-9,短语,固定短语,其他,与此同时
540,7-9,短语,固定短语,其他,这样一来
541,7-9,短语,固定短语,其他,综上所述
542,7-9,短语,固定短语,其他,总的来说/总而言之
543,7-9,词类,副词,情态副词,必定
544,7-9,词类,副词,情态副词,不妨
545,7-9,词类,副词,情态副词,何必
546,7-9,词类,副词,情态副词,莫非
547,7-9,词类,副词,情态副词,按说
548,7-9,词类,副词,时间副词,即
549,7-9,词类,副词,时间副词,历来
550,7-9,词类,副词,时间副词,尚
551,7-9,词类,副词,时间副词,向来
552,7-9,词类,介词,引出对象,当着
553,7-9,词类,介词,引出对象,就5
554,7-9,词类,介词,引出凭借、依据,趁
555,7-9,词类,介词,引出凭借、依据,基于
556,7-9,词类,介词,引出凭借、依据,依
557,7-9,词类,副词,语气副词,白白
558,7-9,词类,副词,语气副词,反倒
559,7-9,词类,副词,语气副词,分明
560,7-9,词类,副词,语气副词,怪不得
561,7-9,词类,副词,语气副词,好在
562,7-9,词类,副词,语气副词,乃
563,7-9,词类,副词,语气副词,难怪
564,7-9,词类,副词,语气副词,偏偏
565,7-9,词类,副词,语气副词,索性
566,7-9,词类,副词,语气副词,万万
567,7-9,词类,副词,语气副词,未免
568,7-9,词类,副词,语气副词,无非
569,7-9,词类,副词,语气副词,幸好
570,7-9,词类,副词,语气副词,幸亏
571,7-9,词类,副词,语气副词,终究
572,7-9,词类,助词,语气助词,而已
573,7-9,词类,助词,语气助词,矣
